name,gender,description,age,job,hobby,categories_liked,categories_disliked
Ava Anderson,F,"a retired person, but she still has a strong sense of adventure and independence. She is a survivalist at heart, and has always been interested in learning how to live off the land and be prepared for any situation. In her free time, she enjoys hiking and camping in the wilderness, and is always on the lookout for new survival skills to learn.",69,retired,Survivalism,"['Health', 'Biography', 'Autobiography', 'Photography']","['Psychology', 'Body', 'Juvenile Fiction', 'Literary Criticism']"
Lucas Green,M,"a Botanist, who also has a passion for Graffiti, he enjoys creating art on the streets, using his knowledge of plants and colors to create unique and eye-catching pieces. In his free time, he enjoys exploring new neighborhoods and finding inspiration for his next piece. He is interested in religion, history, technology and cooking, he loves reading about the relationship between humans and plants.",54,Botanist,Graffiti,"['Religion', 'History', 'Technology', 'Cooking']","['Psychology', 'Health', 'Family', 'Biography']"
Sarah Lee,F,"a Massage Therapist and a Flag football player, She loves the physical and mental challenge of the game, and enjoys being part of a team. In her free time, she enjoys reading about religion, history, fiction and nature. She is very interested in the relationship between mind, body and spirit.",47,Massage Therapist,Flag football,"['Religion', 'History', 'Fiction', 'Nature']","['Economics', 'Sports', 'Disciplines', 'Language Arts']"
David Kim,M,"a farmer and a trade fair visitor, he enjoys learning about new farming techniques and equipment, and is always looking for ways to improve his farm. He has a keen interest in business, economics, and sports. He enjoys reading about the latest developments in these fields and how they can be applied to his own work.",29,Farmer,Trade fair visiting,"['Business', 'Economics', 'Study Aids', 'Sports']","['Art', 'Technology', 'Philosophy', 'Fiction']"
Emily Williams,F,"a school child who loves photography, she enjoys capturing moments and preserving memories through her lens. She is also very interested in Computers and History, she enjoys learning about the latest technology and how it has evolved over time. She is also very fond of reading fiction books, particularly young adult novels, and loves getting lost in imaginative stories. Emily is also interested in social science, she likes to read about psychology and sociology. She is not very fond of Religion, Crafts, Autobiography, and Business books.",13,schoolchild,Photography,"['Computers', 'History', 'Fiction', 'Social Science']","['Religion', 'Crafts', 'Autobiography', 'Business']"
John Smith,M,"a banker who loves shortwave listening, he enjoys tuning in to different frequencies and discovering new cultures through the radio. He is also very interested in reading Autobiography books, he enjoys learning about different people's lives and experiences. He also enjoys reading Fiction and Humor books, he likes to escape reality and have a good laugh. John is also very interested in Religion, he likes to read about different religions and beliefs. He is not very fond of Fitness, Health, Computers, and Spirit books.",49,Banker,Shortwave listening,"['Autobiography', 'Fiction', 'Humor', 'Religion']","['Fitness', 'Health', 'Computers', 'Spirit']"
Sarah Lee,F,"retired but she is still very active and enjoys pole dancing, she finds it to be a great form of exercise and self-expression. She is also very interested in reading Crafts, Language Arts, Juvenile Fiction, and History books, she enjoys creating and learning new things. Sarah is also very interested in reading books about different languages and their grammar. She is not very fond of Religion, Computers, Family, and Autobiography books.",66,retired,Pole dancing,"['Crafts', 'Language Arts', 'Juvenile Fiction', 'History']","['Religion', 'Computers', 'Family', 'Autobiography']"
Michael Johnson,M,"a hairdresser who loves playing flag football, he enjoys the physical activity and the team work. He is also very interested in reading books about Games, Fiction, Business, and Relationships, he enjoys learning about different strategies and techniques. Michael is not very fond of History, Religion, Mathematics, and Juvenile Fiction books.",35,Hairdresser,Flag football,"['Games', 'Fiction', 'Business', 'Relationships']","['History', 'Religion', 'Mathematics', 'Juvenile Fiction']"
Emily Wilson,F,"a school child who has a passion for collecting stamps. She spends most of her time reading books about different cultures and animals. Her favorite category is Medical as she finds it fascinating to read about different medical conditions and treatments. She also enjoys reading Juvenile Fiction, Reference and Business books. She finds the books in these categories to be very interesting and informative. Her least favorite category is Juvenile Nonfiction, Activities, Biography, Travel as she finds them boring and not interesting to her. She prefers to read books that are more educational and informative rather than books that are just for fun.",4,schoolchild,Collecting stamps,"['Medical', 'Juvenile Fiction', 'Reference', 'Business']","['Juvenile Nonfiction', 'Activities', 'Biography', 'Travel']"
David Lee,M,"a school child who has a great interest in playing the drums. He spends most of his time reading books about history and philosophy. He finds the books in these categories to be very insightful and thought-provoking. His favorite category is History as he finds it fascinating to read about different cultures and civilizations. He also enjoys reading Philosophy, Mind, and Religion books. He finds the books in these categories to be very intellectual and makes him think deeply. His least favorite category is Business, Biography, Fiction, Spirit as he finds them to be boring and not interesting to him. He prefers to read books that are more educational and intellectual rather than books that are just for fun.",9,schoolchild,Playing drums,"['History', 'Philosophy', 'Mind', 'Religion']","['Business', 'Biography', 'Fiction', 'Spirit']"
